model	format	shape	lcpp_toks	source
4b	q8	pp512	974.24	llama-bench -r 1, lcpp 7642f1c, M1 Max, 2026-07-20 settled window, Parsec off
4b	q8	tg128_b1	57.41	llama-bench -r 1
4b	q4km	pp512	847.69	llama-bench -r 1 (local requant from Q8, --allow-requantize)
4b	q4km	tg128_b1	64.55	llama-bench -r 1
4b	q5km	pp512	767.92	llama-bench -r 1 (local requant from Q8)
4b	q5km	tg128_b1	55.71	llama-bench -r 1
4b	q6k	pp512	835.87	llama-bench -r 1 (local requant from Q8)
4b	q6k	tg128_b1	63.90	llama-bench -r 1
35b	q4km	pp512	830.97	llama-bench -r 1 (Qwen3.6-35B-A3B-UD-Q4_K_M)
35b	q4km	tg128_b1	54.21	llama-bench -r 1
